Product Name,Price
HP Stream 14 inch Win 11 Laptop Intel Processor N150 4GB 128GB eMMC Pink (12-mo. Microsoft 365 included),"Now$17900
current price Now $179.00, Was $229.00
$229.00"
HP 14 inch HD Windows Laptop AMD Athlon 7120 4GB RAM 128GB SSD Moonlight Blue,"Now$13900
current price Now $139.00, Was $229.00
$229.00"
HP 15.6 inch FHD IPS Touch Windows Laptop AMD Ryzen 5 7520U 8GB 1TB SSD Natural Silver,"Now$35900
current price Now $359.00, Was $699.00
$699.00"
Acer Chromebook 315 15.6 inch Laptop Intel Processor N4500 4GB RAM 64GB eMMC Moonstone Purple,"Now$15900
current price Now $159.00, Was $229.00
$229.00
Options from $91.00"
HP 14 inch HD Windows Laptop AMD Athlon 7120 4GB RAM 128GB SSD Moonlight Blue,"Now$13900
current price Now $139.00, Was $229.00
$229.00
Options from $135.00"
HP Omnibook 5 16 inch Windows 11 Laptop AMD Ryzen 7 AI PC 16GB RAM 512GB SSD Glacier Silver,"$54900
current price $549.00"
HP 15.6 inch FHD IPS Touch Windows Laptop AMD Ryzen 5 7520U 8GB 1TB SSD Natural Silver,"Now$35900
current price Now $359.00, Was $699.00
$699.00"
"ASUS Vivobook Go 15.6” Laptop, Intel i3-N305, 8GB, 256GB, Windows 11 Home in S mode, Cool Silver, E1504GA-WS35","$26900
current price $269.00"
"HP 14 AI Copilot Laptop, 4-Core Intel CPU, 8GB RAM, 128GB Storage, 1-Yr Office 365, Win 11S, Rose","Now$24895
current price Now $248.95, Was $389.00
$389.00
Options from $219.97"
HP Victus 15.6 inch FHD 144Hz IPS Win 11 Gaming Laptop Intel Core i5-13420H 16GB RAM 512GB SSD RTX 4050 Mica Silver,"$64900
current price $649.00
Options from $649.00 – $1,099.99"
HP 14 inch HD Windows Laptop AMD Athlon 7120 4GB RAM 128GB SSD Moonlight Blue,"Now$13900
current price Now $139.00, Was $229.00
$229.00
Options from $135.00"
HP Omnibook 5 16 inch Touch Windows 11 Laptop Intel Core Ultra 7 AI PC 16GB RAM 1TB SSD Silver,"$64999
current price $649.99
Options from $649.99 – $749.00"
ASUS CX15 15.6 inch FHD IPS Chromebook Laptop Intel Celeron N4500 4GB RAM 128GB eMMC Fabric Blue,"$15900
current price $159.00"
HP Chromebook x360 14 inch FHD IPS Touch 2-in-1 Laptop Intel Processor N100 4GB RAM 64GB eMMC - Sky Blue,"Now$21900
current price Now $219.00, Was $299.00
$299.00
Options from $181.00"
HP Stream 14 inch Win 11 Laptop Intel Processor N150 4GB 128GB eMMC Pink (12-mo. Microsoft 365 included),"Now$17900
current price Now $179.00, Was $229.00
$229.00
Options from $105.00"
"ASUS Vivobook Go 15.6” Laptop, Intel i3-N305, 8GB, 256GB, Windows 11 Home in S mode, Cool Silver, E1504GA-WS35","$26900
current price $269.00"
"Lenovo IdeaPad Slim 3i 15.6"" Laptop, Intel Processor N100, 4GB RAM, 128 SSD, Arctic Grey","Now$13900
current price Now $139.00, Was $319.99
$319.99"
"ASUS Chromebook CX1, 15.6"" FHD, Intel Celeron N4500, 128GB eMMC, 4GB RAM, ChromeOS, Pure Gray","$15900
current price $159.00"
HP 14 inch Windows Laptop Intel Celeron N4120 4GB RAM 64GB eMMC Silver (12-mo. Microsoft 365 Included),"$17797
current price $177.97
Options from $177.97 – $194.99"
"RNRUO 15.6"" Pink Laptop Computer, 8GB RAM 256GB SSD, Intel Pentium Gold 6500Y With 2 Cores, up to 3.4GHz, FHD Display, Office 2024, WiFi5 BT5.0, PC Laptop for Business, Student, Office","Now$19969
current price Now $199.69, Was $469.00
$469.00
Options from $199.69 – $259.39"
"RNRUO 15.6"" Windows 11 Laptop, Dual 8GB RAM, 256GB SSD, AMD 3020e with 2 Cores up to 2.6GHz, With Office 2024, 1920x1080 Display WiFi5 BT5.0 for Student, Home Office, Business","Now$19969
current price Now $199.69, Was $489.00
$489.00
Options from $199.69 – $249.09"
HP Chromebook x360 14 inch FHD IPS Touch 2-in-1 Laptop Intel Processor N100 4GB RAM 64GB eMMC - Sky Blue,"Now$21900
current price Now $219.00, Was $299.00
$299.00
Options from $181.00"
"Exsurf 15.6"" Windows 11 Pro Laptop, Intel 3050E CPU, 32GB RAM 1TB SSD,Type-C Port, Pink Home Computer","Now$39999
current price Now $399.99, Was $599.99
$599.99
Options from $379.99"
"RNRUO 15.6"" Laptop Computer, 16GB RAM 256GB SSD, Intel Pentium Gold 6500Y with 2 Cores Up to 3.4GHz, FHD Display, Office 2024, WiFi5 BT5.0, Windows 11 Laptop for Business, Student, Office, Dark Gray","Now$22989
current price Now $229.89, Was $509.00
$509.00
Options from $196.99"
HP 15.6 inch Win 11 Laptop Intel Processor N200 4GB RAM 128GB UFS Moonlight Blue (12-mo. Microsoft 365 included),"Now$21900
current price Now $219.00, Was $269.99
$269.99
Options from $149.00"
"RNRUO 15.6"" Windows 11 Laptop, 32GB RAM 512GB SSD, Intel Pentium Gold 6500Y up to 3.4GHz With Office 2024 1920*1080 IPS FHD Display for Student, Home Office, Business, Dard Gray","Now$27999
current price Now $279.99, Was $552.00
$552.00
Options from $259.99"
"Windows 11 Pro Laptop 15.6inch, 12GB RAM 512GB SSD, 12th Gen Intel N100 Processor, 1920x1080, Webacm","Now$28999
current price Now $289.99, Was $549.99
$549.99"
HP 15.6 inch Windows 11 Laptop intel Core i3-N305 8GB RAM 256GB SSD Natural Silver,"$31498
current price $314.98
Options from $201.00"
HP 14 inch HD Chromebook Laptop Intel Processor N200 4GB RAM 128GB UFS Glacier Silver,"$17595
current price $175.95
Options from $109.00"
HP 15.6 inch Windows 11 Laptop intel Core i7-1355U 16GB RAM 1TB SSD Natural Silver,"$63497
current price $634.97
Options from $427.97"
"ASUS Vivobook 15.6” FHD Laptop with Intel i5-1334U, Intel UHD Graphics, 8GB RAM, 512GB SSD, Cool Silver","$39900
current price $399.00
Options from $399.00 – $459.00"
"RNRUO 15.6"" Laptop Computer, 16GB RAM 256GB SSD, Intel Pentium Gold 6500Y with 2 Cores Up to 3.4GHz, FHD Display, Office 2024, WiFi5 BT5.0, Windows 11 Laptop for Business, Student, Office, Dark Gray","Now$22989
current price Now $229.89, Was $509.00
$509.00
Options from $196.99"
"15.6"" Laptop Computer,8GB RAM 256GB SSD,Windows 11 Pro Bussiness NoteBook PC,MS Office 365,Intel Celeron N4000(up to 2.6GHz) 100% sRGB Screen,2.4G/5G Dual Band WiFi","Now$21939
current price Now $219.39, Was $299.00
$299.00"
"RNRUO 15.6"" Windonws 11 Laptop, 12GB DDR5 512G SSD, Up to 3.6GHz Intel N150 Quad-Core, Office 2024 WiFi 6 BT 5.2, 1080 FHD Display for Student, Business, Home Office, Pink","$28999
current price $289.99"
MSI Thin 15.6 inch FHD 144Hz Gaming Laptop Intel Core i5-13420H NVIDIA GeForce RTX 4050 - 16GB DDR4 512GB SSD Gray (2025),"Now$59900
current price Now $599.00, Was $899.99
$899.99
+$98.90 shipping"
"Lenovo IdeaPad Slim 3i 15.6"" Laptop, Intel Core i3-N305, 8GB, 256 SSD, 82XB00BMUS","$32900
current price $329.00"
"Lenovo IdeaPad Slim 3i 15.6"" FHD Touch Laptop, AMD Ryzen 5 7520U, 8GB RAM, 512 SSD, Artic Grey","Now$37390
current price Now $373.90, Was $549.99
$549.99"
"RNRUO 15.6 inch Windows 11 Laptops New Intel 6500Y 8GB RAM 256GB ROM, FHD Display Type-C PD WiFi 5 BT5.0, Long Battery Life Netbook Laptop Computer for Kids, Student, Business","Now$19649
current price Now $196.49, Was $429.00
$429.00
Options from $196.49 – $209.99"
HP Victus 15.6 inch FHD 144Hz IPS Win 11 Gaming Laptop Intel Core i5-13420H 16GB RAM 512GB SSD RTX 4050 Mica Silver,"$64900
current price $649.00
Options from $649.00 – $1,099.99"
"HP 14"" Ultra Thin 2026 Laptop with Copilot, Intel Quad-Core N150, 8GB RAM, 384GB(128GB eMMC+256GB SD Card), Windows 11 Pro,1 Year Office 365, Lightweight Lavender Notebook for Work and School","$32999
current price $329.99
Options from $248.69"
"ASUS Vivobook 16"" WUXGA Laptop Intel Core i7-1355U 16GB RAM 512GB SSD Black","Now$49900
current price Now $499.00, Was $649.99
$649.99
Options from $499.00 – $629.99"
HP 15.6 inch Windows Laptop Intel Core i3-N305 8GB RAM 256GB SSD Natural Silver,"$32490
current price $324.90
Options from $141.00"
"Laptop 15.6 FHD Gaming Laptop, AMD Ryzen 7 5825U, 16GB RAM, 1TB SSD, Windows 11PRO, Graphite, WiFi 6, Backlit KB.","Now$59959
current price Now $599.59, Was $899.99
$899.99
Options from $539.99"
MSI Katana 15.6 inch 144Hz Gaming Laptop Intel Core i7-14650HX NVIDIA GeForce RTX 5050 16GB DDR5 512GB SSD Black (2025),"Now$89900
current price Now $899.00, Was $1,199.99
$1,199.99"
"HP Laptop 14"", Microsoft Office 365(one year), Intel Quad-Core N150 Processor, 16GB Memory, 256GB Storage(128GB eMMC+128GB SD Card), Webcam, HDMI, WiFi, USB-A&C, Fast Charge, Win 11 S","$34797
current price $347.97
Options from $208.97"
ASUS Zenbook 14 inch OLED WUXGA Touch Windows Laptop AMD Ryzen AI7 32GB RAM 1TB SSD Jade Black,"$97900
current price $979.00"
HP 15.6 inch Windows Laptop Intel Core i5-1235U 8GB RAM 256GB SSD Silver,"$38397
current price $383.97"
HP 15.6 inch Windows 11 Touch Laptop Intel Core i3-N305 8GB RAM 256GB SSD Moonlight Blue,"$33900
current price $339.00"
"SGIN 15.6"" Laptop Windows 11, 16GB DDR4 1024GB SSD Laptops Computer - 4 Core Intel Celeron, 1920*1080 FHD IPS Screen, Wifi 6, BT 5.2","Now$35999
current price Now $359.99, Was $718.99
$718.99"
"HP 14"" HD Laptop for Students and Business,Intel Celeron N4120, 4GB RAM, 64GB eMMC, Long Battery Life, UHD Graphics, Webcam, HDMI, Wi-Fi,Windows 11 Home in S Mode, Snowflake White","$18524
current price $185.24
Options from $179.99"
"Molegar 15.6 FHD Laptop with Intel Quad-Core N5100, Intel UHD Graphics, 8GB RAM, 256GB SSD, Business Laptop Computer, Fingerprint, Type C, Cool Silver","Now$26999
current price Now $269.99, Was $399.99
$399.99"
"HP 14"" Ultra Thin Laptop, Intel Quad-Core Processor, 4GB RAM, 256GB (128GB eMMC+128GB SD Card), Windows 11 Home, 1 Year Microsoft Office 365, Lightweight Notebook for Work or School, Gift Set(Pink)","$26679
current price $266.79"
"ASUS Vivobook S 14 Copilot+ PC 14"" WUXGA OLED Windows Laptop Intel Core Ultra 7 Series 2 258V AI PC Intel Evo 32GB RAM 1TB SSD Black","$89900
current price $899.00"
"Jumper 17.6"" Windows 11 Laptop, 16GB DDR4 640GB Storage Laptop Computer, 4-Core Intel N95 Processor(Up to 3.4GHz), 100% sRGB, Backlit Keyboard, 1yr Office 365 Free, Black","Now$39949
current price Now $399.49, Was $798.99
$798.99"
"HYYUO 15.6"" Laptop Computer, 8GB RAM 256GB SSD, Intel 6500Y with 2 Cores 4 Thread, Up to 3.4GHz, FHD Display, Laptop for Business, Student, Office, Pink, Lightweight, Windows 11 Laptop","Now$19699
current price Now $196.99, Was $219.99
$219.99"
"Restored Dell Latitude 3190 11.6"" Laptop Intel Core Celeron N4120 (1.1 GHz) 4GB RAM 64GB SSD Windows 10 Home","$15800
current price $158.00"
"15.6"" Laptop,12GB RAM 256GB SSD,Windows 11 Pro NoteBook PC,MS Office 365,Intel Celeron N4000(up to 2.6GHz) Bussiness Computer","Now$22999
current price Now $229.99, Was $299.00
$299.00"
"16 Inch FHD Laptop, Intel N5095 Processor, 12GB RAM 512GB SSD, Windows 11,Portable Computer for Work & Student","$26999
current price $269.99"
"EYY 15.6 inch Windows 11 Pro Laptop,8GB RAM 256GB SSD,Bussiness Notebook Computer Intel Celeron N4000, 100% sRGB Screen,FHD 1920 x 1080,MS Office 365","$21939
current price $219.39"
"Coolby 15.6"" Full HD Laptop with MS Office 2024,16GB RAM 256GB SSD Laptops,6500Y Processor Up to 3.4GHz,Win 11 Pro Notebooks,Bluetooth,Poratable Business and Student Laptop computer","Now$22500
current price Now $225.00, Was $289.00
$289.00"
"15.6 inch Laptop, 16GB RAM 512GB ROM, N5095,Intel Celeron Quad-Core ,1080P FHD, 38000mWh Battery, Laptop Computers Support WiFi, Bluetooth, Type-C, TF Card","$27999
current price $279.99"
"2026 Newest Laptop, 15.6-Inch FHD Display Laptop with Intel Quad Core-12th N150(Up to 3.4GHz), 8GB RAM 256GB ROM Business Laptop Computer, Fingerprint, Type C, Windows 11 Home, Pink","Now$34999
current price Now $349.99, Was $699.99
$699.99"
"15.6''Laptop 8GB DDR4 512GB SSD, Quad-Core Intel Celeron N5095 Processors, 1080P Ips Fhd Display Laptop Computer, Numeric Keypad,Bluetooth 4.2, 2.4/5G Wifi，Windows 11","$28999
current price $289.99"
"Golzer 17.6in Laptop 100% sRGB, 16GB DDR4 640GB ROM, Windows 11 Business Laptop Computer, 4 Core N95 Processor (Up to 3.4GHz), Backlit Keyboard, 1yr Office 365 Free","Now$39949
current price Now $399.49, Was $798.99
$798.99"
"Coolby Pink Laptop,15.6 Inch Laptop Computer,16GB RAM 512GB SSD,Quad-Core N5095(Beat to 6500Y,N4020),Fingerprint, Backlit KB,Win 11 Laptop, Office 2024,Type c PD Fast Charging","$25900
current price $259.00"
"13-17 Inch Laptop Bag for Women,Laptop Tote Bag,Wear and Water Resistance Laptop Shoudler Bag,16'' Lightweight Laptop Sleeve, Laptop Case Pink","Now$2249
current price Now $22.49, Was $45.99
$45.99"
"2026 Newest Laptop, 15.6-Inch FHD Display Laptop with Intel Quad Core-12th N150(Up to 3.4GHz), 8GB RAM 256GB ROM Business Laptop Computer, Fingerprint, Type C, Windows 11 Home, Blue","Now$34999
current price Now $349.99, Was $699.99
$699.99"
"15.6-FHD-Laptop,Student-Laptop with Backlit Keyboard Fingerprint 16GB RAM 1TB SSD Intel Pentium Quad Core N100 Processor (Up to 3.4GHz）Business-Laptop,Computer，2 Years Warranty Win11,Blue","$49999
current price $499.99"
"15.6 inch Laptop, Gaming Laptop i5 Processor, Laptop Computer with 16GB LPDDR4 512GB SSD, Silver Traditional Laptop Computers for Work & Study, 180° Angle Open, Dual-Band WiFi","Now$38900
current price Now $389.00, Was $459.00
$459.00"
"HYYUO 2 in 1 11.6''Touchscreen Laptop, 256GB SSD 16GB RAM, Intel 6500Y Convertible Tablet Notebook, 360° Flip, Ultra-portable Laptop, Windows 11 Laptop for Office, Business, Study","Now$25999
current price Now $259.99, Was $298.99
$298.99"
"Laptop Tulasi 15.6"" Win 11 PC Intel N95 4C4T 12GB+1024GB, Notebook Grey","$28999
current price $289.99"
"15.6-FHD-Laptop,16GB RAM 1TB SSD Student-Laptop with Backlit Keyboard Fingerprint Intel Pentium Quad Core N100 Processor (Up to 3.4GHz)Business-Laptop,Computer,2 Years Warranty Win11,Silver","$39999
current price $399.99"
"15.6 inch Laptop,16GB RAM 1TB SSD 2025 Student-Laptop with Backlit Keyboard Fingerprint Intel Quad Core N100 (Up to 3.4GHz)Business-Laptop,Computer,2 Years Warranty Win11,Blue","$39999
current price $399.99"
